,From,To,Date,Subject,From_Name,To_Name,CurrentEmploymentType_To_List,CurrentEmploymentType_To_Unique,Subject_new,just_date,day,Time_of_day,LastName_From,FirstName_From,BirthDate_From,BirthCountry_From,Gender_From,CitizenshipCountry_From,CitizenshipBasis_From,CitizenshipStartDate_From,PassportCountry_From,PassportIssueDate_From,PassportExpirationDate_From,CurrentEmploymentType_From,CurrentEmploymentTitle_From,CurrentEmploymentStartDate_From,EmailAddress_From,MilitaryServiceBranch_From,MilitaryDischargeType_From,MilitaryDischargeDate_From,CurrentEmploymentType_Original_From,CurrentEmploymentType_To_Unlisted
0,Sven.Flecha@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 08:39:00,GT-SeismicProcessorPro Bug Report,Sven Flecha,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'],GT-SeismicProcessorPro Bug Report,2014-01-06,6,After hours (the rest),Flecha,Sven,1986-11-11,Tethys,Male,Tethys,BirthNation,1986-11-11,Tethys,2006-10-09,2016-10-08,IT,IT Technician,2010-10-15,Sven.Flecha@gastech.com.kronos,,,,Information Technology,IT
1,Kanon.Herrero@gastech.com.kronos,"Felix.Resumir@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos",2014-01-06 08:58:00,Inspection request for site,Kanon Herrero,"['Resumir Felix', 'Cocinaro Hideki', 'Ferro Inga', 'Lagos Varja', 'Herrero Kanon', 'Fusil Stenig', 'Osvaldo Hennie', 'Vann Isia', 'Vann Edvard', 'Bodrogi Loreto']","['Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security']",['Security'],Inspection request for site,2014-01-06,6,After hours (the rest),Herrero,Kanon,1984-10-03,Tethys,Male,Tethys,BirthNation,1984-10-03,Tethys,2008-10-10,2018-10-09,Security,Badging Office,2008-11-20,Kanon.Herrero@gastech.com.kronos,,,,Security,Security
2,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos",2014-01-06 09:28:00,New refueling policies - Effective February 1,Bertrand Ovan,"['Arpa Emile', 'Awelon Varro', 'Coginian Dante', 'Hafon Albina', 'Hawelon Benito', 'Hawelon Claudio', 'Mies Henk', 'Morlun Valeria', 'Morlun Adan', 'Morluniau Cecilia', 'Nant Irene', 'Scozzese Dylan']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'],New refueling policies - Effective February 1,2014-01-06,6,Working hours (9-5),Ovan,Bertrand,1964-12-12,Tethys,Male,Tethys,BirthNation,1964-12-12,Tethys,2008-10-03,2018-10-02,Facilities,Facilities Group Manager,1998-10-01,Bertrand.Ovan@gastech.com.kronos,TethanDefenseForceAir,HonorableDischarge,1993-10-01,Facilities,Facilities
3,Valeria.Morlun@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos",2014-01-06 09:38:00,Route suggestion for next shift,Valeria Morlun,"['Coginian Dante', 'Hafon Albina', 'Hawelon Benito', 'Mies Henk']","['Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'],Route suggestion for next shift,2014-01-06,6,Working hours (9-5),Morlun,Valeria,1981-09-22,Kronos,Female,Kronos,BirthNation,1981-09-22,,,,Facilities,Truck Driver,2003-12-02,Valeria.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2001-10-01,Facilities,Facilities
4,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-06 09:49:00,Upcoming birthdays,Mat Bramar,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'],Upcoming birthdays,2014-01-06,6,Working hours (9-5),Bramar,Mat,1981-12-19,Tethys,Male,Tethys,BirthNation,1981-12-19,Tethys,2007-12-12,2017-12-11,Executive,Assistant to CEO,2005-07-01,Mat.Bramar@gastech.com.kronos,,,,Administration,Not unique department
5,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos",2014-01-06 10:01:00,Don't text and drive!,Bertrand Ovan,"['Arpa Emile', 'Awelon Varro', 'Coginian Dante', 'Hafon Albina', 'Hawelon Benito', 'Hawelon Claudio', 'Mies Henk', 'Morlun Valeria', 'Morlun Adan', 'Morluniau Cecilia', 'Nant Irene', 'Scozzese Dylan']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'],Don't text and drive!,2014-01-06,6,Working hours (9-5),Ovan,Bertrand,1964-12-12,Tethys,Male,Tethys,BirthNation,1964-12-12,Tethys,2008-10-03,2018-10-02,Facilities,Facilities Group Manager,1998-10-01,Bertrand.Ovan@gastech.com.kronos,TethanDefenseForceAir,HonorableDischarge,1993-10-01,Facilities,Facilities
6,Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,2014-01-06 10:25:00,Service anniversary,Orhan Strum,['Fusil Stenig'],['Security'],['Security'],Service anniversary,2014-01-06,6,Working hours (9-5),Strum,Orhan,1963-10-18,Asteria,Male,Tethys,ParentCitizenship,1963-10-18,Tethys,2011-06-02,2021-06-01,Executive,SVP/COO,2003-08-07,Orhan.Strum@gastech.com.kronos,,,,Executive,Security
7,Varja.Lagos@gastech.com.kronos,"Varja.Lagos@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Inga.Ferro@gastech.com.kronos",2014-01-06 10:28:00,Patrol schedule changes,Varja Lagos,"['Lagos Varja', 'Osvaldo Hennie', 'Bodrogi Loreto', 'Ferro Inga']","['Security', 'Security', 'Security', 'Security']",['Security'],Patrol schedule changes,2014-01-06,6,Working hours (9-5),Lagos,Varja,1976-05-01,Tethys,Female,Tethys,BirthNation,1976-05-01,Tethys,2013-07-07,2023-07-06,Security,Badging Office,2006-10-01,Varja.Lagos@gastech.com.kronos,,,,Security,Security
8,Brand.Tempestad@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos",2014-01-06 10:35:00,Wellhead flow rate data,Brand Tempestad,"['Frente Birgitta', 'Azada Lars', 'Balas Felix']","['Engineering', 'Engineering', 'Engineering']",['Engineering'],Wellhead flow rate data,2014-01-06,6,Working hours (9-5),Tempestad,Brand,1979-05-14,Tethys,Male,Tethys,BirthNation,1979-05-14,Tethys,2012-05-05,2022-05-04,Engineering,Drill Technician,2004-06-12,Brand.Tempestad@gastech.com.kronos,,,,Engineering,Engineering
9,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 10:43:00,RE: GT-SeismicProcessorPro Bug Report,Isak Baza,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Baza,Isak,1979-02-12,Tethys,Male,Tethys,BirthNation,1979-02-12,Tethys,2008-08-13,2018-08-12,IT,IT Technician,2002-03-20,Isak.Baza@gastech.com.kronos,,,,Information Technology,IT
